id,name,isin_code,create_day,market_type,market_type_detail,industry_type,update_time,update_user
2316,楠梓電,TW0002316007,19910205,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2317,鴻海,TW0002317005,19910618,上市,股票,其他電子業,2018-06-18 23:47:06.934649,tittan
2321,東訊,TW0002321007,19911108,上市,股票,通信網路業,2018-06-18 23:47:06.934649,tittan
2323,中環,TW0002323003,19920217,上市,股票,光電業,2018-06-18 23:47:06.934649,tittan
2324,仁寶,TW0002324001,19920218,上市,股票,電腦及週邊設備業,2018-06-18 23:47:06.934649,tittan
2327,國巨,TW0002327004,19931022,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2328,廣宇,TW0002328002,19931109,上市,股票,電子零組件業,2018-06-18 23:47:06.934649,tittan
2329,華泰,TW0002329000,19940420,上市,股票,半導體業,2018-06-18 23:47:06.934649,tittan
2330,台積電,TW0002330008,19940905,上市,股票,半導體業,2018-06-18 23:47:06.934649,tittan
2331,精英,TW0002331006,19940921,上市,股票,電腦及週邊設備業,2018-06-18 23:47:06.934649,tittan
2332,友訊,TW0002332004,19941017,上市,股票,通信網路業,2018-06-18 23:47:06.934649,tittan
